tm_index,action,selected_K,PR,DB,decision_ms
1000,K200,200,0.9999744716650782,0.0007684012946718735,61.0
1001,K200,200,0.999984131117278,0.001564950417648003,63.8
1002,K200,200,0.9999718264423179,0.0034351193189117203,73.0
1003,K200,200,0.9999731485156778,0.0007345191985875666,62.2
1004,K200,200,0.9999749672216155,0.0011180003537455943,62.3
1005,K200,200,0.9999938216777198,0.0014670700467506808,61.8
1006,K200,200,0.9999903094282531,0.002060429256798417,162.7
1007,K200,200,0.9999915220455081,0.0011119670452931591,60.9
1008,K200,200,0.999960552462527,0.0035623960873728587,61.1
1009,K200,200,0.9999511924172653,0.005688555141586516,59.6
1010,K200,200,0.9998371193430293,0.001759583394890226,60.3
1011,K200,200,0.9999626793293992,0.0033453769633429056,60.4
1012,K200,200,0.9998938617595677,0.001655839680067337,59.6
1013,K200,200,0.9999381574991085,0.0031206703946436705,59.6
1014,K200,200,0.9999275459652377,0.0016743725343926082,60.3
1015,K200,200,0.9998294690652054,0.0016572508509002184,59.8
1016,K200,200,0.9999112522514835,0.003237332719470736,124.0
1017,K200,200,0.9998766510288289,0.0025578455654584917,59.7
1018,K200,200,0.9999190711308178,0.00205657928952736,61.5
1019,K200,200,0.9998819542266549,0.0018333571261699212,59.9
1020,K200,200,0.9999615396055558,0.001286944891618415,63.5
1021,K200,200,0.9998867566483474,0.0032107082392824355,60.5
1022,K200,200,0.999844556587456,0.0038421999305766246,63.0
1023,K200,200,0.9997896627200961,0.0018489461357688083,61.2
1024,K200,200,0.9998177931283462,0.0015925424482350684,61.2
1025,K200,200,0.9998182101367381,0.0006386664496792337,60.4
1026,K200,200,0.9998324377547875,0.0012600565304081615,119.9
1027,K200,200,0.9999214020315618,0.001132369207413711,61.6
1028,K200,200,0.9999708127113237,0.005162892312938193,61.9
1029,K200,200,0.999843399030987,0.0005731390478200978,62.1
1030,K200,200,0.9998063401666886,0.0014971939712864846,61.0
1031,K200,200,0.9999119828654193,0.001860015832309522,60.7
1032,K200,200,0.9999011371442932,0.0017296124224829316,61.7
1033,K200,200,0.9998909939151336,0.0032279238025519586,61.6
1034,K200,200,0.9998564340835606,0.0013123398573076728,60.3
1035,K200,200,0.9999655135200737,0.002042773655390461,58.9
1036,K200,200,0.9999516467242149,0.0012965753862642045,114.6
1037,K200,200,0.9998760404246023,0.001328371294650961,60.6
1038,K200,200,0.9998913757115685,0.002458071817034473,61.5
1039,K200,200,0.9999080625978083,0.003358250701444322,60.3
1040,K200,200,0.9999551053395994,0.002214275233133504,60.8
1041,K200,200,0.9999660736550738,0.002327558556581305,60.1
1042,K200,200,0.9998466469596878,0.0010781301718566728,60.2
1043,K200,200,0.9997721619904468,0.0014066084024033304,61.9
1044,K200,200,0.9998625468249531,0.0016907216422091212,61.1
1045,K200,200,0.9999589373274411,0.00326127256470727,60.7
1046,K200,200,0.9999377817444428,0.025757114482266592,116.3
